ID,Name,PinyinName,Score,Season,Describe,Special,BaseID,SpecialName,SkillsID
230,乐无异·捐毒,YueWuYi_JuanDu,4,夏,"长安年少重游侠，
抱酒弹铗杏花阴。",true,201,201,
231,闻人羽·天罡,WenRenYu_TianGang,6,秋,"天罡夜枕绿沉枪，
敌血尚温金甲凉。",true,202,202,
232,闻人羽·闺秀,WenRenYu_GuiXiu,4,秋,"塞雪连城堕婆娑，
云雕怒马走冰河。",true,202,202,
233,夏夷则·太华,XiaYiZe_TaiHua,4,冬,"江山倦夜眠孤客，
红堕沾衣冷血痕。",true,203,203,
234,夏夷则·鲛人,XiaYiZe_JiaoRen,6,冬,"沧海遗珠鲛人泪，
遗骨托生帝王脉。",true,203,203,
235,阿阮·神女,ARuan_ShenNv,4,春,"云垂水镜参差影，
十二峰头月欲西。",true,204,204,
236,阿阮·山鬼,ARuan_ShanGui,6,春,"崔嵬未起逐风舞，
羲和停云坠玉露。",true,204,204,
237,禺期·无名,YuQi_WuMing,4,夏,"贤者无名入神识，
?一片丹心报苍生。",true,205,205,
238,沈夜·紫微,ShenYe_ZiWei,4,冬,"天命难解此中局，
神血护佑心魔曲。",true,207,207,
239,沈曦·魔化,ShenXi_MoHua,4,春,"稚童新衫犹未裁，
一点红痕一世哀。",true,208,208,
240,谢衣·初七,XieYi_ChuQi,4,夏,"霜刃初试驱长夜，
破云开天相决绝。",true,206,206,
241,清河真人·温留,QingHeZhenRen_WenLiu,4,秋,"赤血丹心照夙昔，
殊途与归执道心。",true,210,210,
242,华月·魔化,HuaYue_MoHua,4,冬,"戾天狂歌琴声啸，
朔雪为刃止喧嚣。",true,209,209,
301,岑缨,CenYing,2,夏,"豆火薪传笑嫣然，
书帷漫卷睛灵秀。",false,301,,
302,姬轩辕,JiXuanYuan,2,春,"天何所沓梦归崖，
日月入怀星分阵。",false,302,,
303,云无月,YunWuYue,2,冬,"既出丹渊交光夜，
凝雾点漆逸流萤。",false,303,,
304,北洛,BeiLuo,2,秋,"璞玉浑金珠光淡，
晦迹韬光识乾坤。",false,304,,
305,玄戈&霓商,XuanGe&NiShang,2,冬,"惊风奔雷骋四野，
重帘暮深落星沉。",false,305,,
306,嫘祖,LeiZu,2,夏,"掷镜秉钺自光辉，
孤城折冲定风波。",false,306,,
307,缙云,JinYun,2,秋,"岁付征鸿辉斗柄，
剑破寰宇卫荒服。",false,307,,
308,巫炤,WuZhao,2,冬,"空阶拥璇献沉壁，
枉消虚过碎玉衡。",false,308,,
309,司危,SiWei,2,夏,"韶颜稚尺芳菲逝，
朱轮惘惘笑移蚀。",false,309,,
310,刘兄,LiuXiong,2,春,"青丘尘中犹独醒，
夕寐霄兴叙多情。",false,310,,
311,天鹿城,TianLuCheng,2,秋,"霄虹纹彩九千仞，
莫见阙角倚碧海。",false,311,,
312,西陵,XiLing,2,秋,"鸢飞丘墟千嶂叠，
狼烟恒亘背花烬。",false,312,,
313,鄢陵,YanLing,2,春,"折花掷果麴盈车，
华红叠翠醉春晖。",false,313,,
314,有熊,YouXiong,2,秋,"固城筑基共拾火，
绯云漫卷覆短墙。",false,314,,
315,白梦泽,BaiMengZe,2,春,"旧时泽畔刺荆心，
云散雾始咏初年。",false,315,,
316,巫之国,WuZhiGuo,2,冬,"寂寂无声伴永生，
堭堭空音苍梧谣。",false,316,,
317,鼎湖,DingHu,2,冬,"神与行处凝涧壑，
帐殿倚云破冰枝。",false,317,,
318,赤水,ChiShui,2,夏,"未闻龙啸绝凌云，
残灯耿夜拾遗珠。",false,318,,
319,阳平,YangPing,2,夏,"谷旦净扫立修竹，
斜阳照拂连巴蜀。",false,319,,
320,无名之地,WuMingZhiDi,2,冬,"生生死死漠无声，
影影绰绰空载魂。",false,320,,
321,画板,HuaBan,2,夏,"聿画三界行九州，
千秋入墨成陈迹。",false,321,,
322,半魂莲,BanHunLian,2,夏,"浮生聚散梦连陇，
天星摇落尽成空。",false,322,,
323,玉梳,YuShu,2,春,"旧梦如昨梳叠云，
故国凋零意难平。",false,323,,
324,青丘尘中记,QingQiuChenZhongJi,2,春,"闲情偶寄旦付梓，
一语成谶结狐缘。",false,324,,
325,梦魂枝,MengHunZhi,2,秋,"切切以旧梦为恨，
点点以残魂为引。",false,325,,
326,太岁,TaiSui,2,冬,"照之以日月，经之以星辰，
纪之以四时，要之以太岁。",false,326,,
327,天鹿,TianLu,2,秋,"籍籍征战遏群魔，
迢迢高城远人间。",false,327,,
328,原天柿,YuanTianShi,2,春,"结庐莲境持家计，
饱卧汤泉乡其音。",false,328,,
329,北洛·辟邪,BeiLuo_BiXie,6,秋,"微茫窥无尽，垂辉映中天，
杂音没金足，狂啸列穹宇。",true,304,304,
330,北洛·冕服,BeiLuo_MianFu,4,秋,"阵云循涌炎风震，
清辉灼烁万物生。",true,304,304,
331,云无月·魇魅,YunWuYue_YanMei,6,冬,"华翎一展云蔽月，
敢以长歌魇鬼神。",true,303,303,
332,云无月·华裳,YunWuYue_HuaShang,4,冬,"清眸剪沧海，罗袂舞桑田，
红尘本无意，重逢竟有期。",true,303,303,
333,姬轩辕·绣春,JiXuanYuan_XiuChun,4,春,"乾坤承转昔年事，
余音茫茫赠熏风。",true,302,302,
334,姬轩辕·玄鹿,JiXuanYuan_XuanLu,6,春,"天意多无据，人间寄多情，
华岁逢故交，崆峒惜旦暮。",true,302,302,
335,岑缨·菡萏,CenYing_HanDan,6,夏,"彤霞染层静，云渊展鸿图，
少年相谈笑，辩发垂肩行。",true,301,301,
336,岑缨·劲装,CenYing_JinZhuang,4,夏,"江天绘幅远无垠，
一页春秋一叶舟。",true,301,301,
337,刘兄·比木,LiuXiong_BiMu,4,春,"寒渊梦远几时真，
但将笔砚换君钗。",true,310,310,
338,嫘祖·梦中人,LeiZu_MengZhongRen,4,夏,"昔年共饮一枝春，
今朝唯余梦中人。",true,306,306,
339,玄戈&霓商·流光,XuanGe&NiShang_LiuGuang,4,冬,"朔风凛凛掠尘去，
故人凭栏晓天寒。",true,305,305,
340,司危·嫣然,SiWei_YanRan,4,夏,"垂髻粉腮犹带笑，
不见城深春易老。",true,309,309,
341,巫炤·吞恨,WuZhao_TunHen,4,冬,"寒灯一芯尽，角楼囚霜星，
独站群崖底，风物皆无情。",true,308,308,
342,缙云·卸甲,JinYun_XieJia,4,秋,"玄甲浸苍烟，皓首远人间，
十载常独坐，半身是离绝。",true,307,307,
